DATA INICIAL,DATA FINAL,ESTADO,MUNICÍPIO,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,COEF DE VARIAÇÃO REVENDA
2022-08-07 00:00:00,2022-08-13 00:00:00,ACRE,RIO BRANCO,ETANOL HIDRATADO,16,R$/l,5.01,0.07901212987046148,4.94,5.19,0.015776788692467035
2022-08-07 00:00:00,2022-08-13 00:00:00,ALAGOAS,MACEIO,ETANOL HIDRATADO,24,R$/l,4.87,0.3497802104924948,4.39,6.19,0.07176818886740083
2022-08-07 00:00:00,2022-08-13 00:00:00,AMAZONAS,MANAUS,ETANOL HIDRATADO,36,R$/l,4.76,0.12930583900195702,4.59,4.99,0.027146082365701263
2022-08-07 00:00:00,2022-08-13 00:00:00,BAHIA,SALVADOR,ETANOL HIDRATADO,87,R$/l,4.85,0.0950972714917472,4.74,4.99,0.01961698309373326
2022-08-07 00:00:00,2022-08-13 00:00:00,CEARA,FORTALEZA,ETANOL HIDRATADO,99,R$/l,5.1,0.24173196609952824,4.67,5.69,0.04742848437086941
2022-08-07 00:00:00,2022-08-13 00:00:00,DISTRITO FEDERAL,BRASILIA,ETANOL HIDRATADO,47,R$/l,4.72,0.18477052798295734,4.48,5.39,0.03913747719680468
2022-08-07 00:00:00,2022-08-13 00:00:00,ESPIRITO SANTO,VITORIA,ETANOL HIDRATADO,19,R$/l,4.74,0.21319840853887434,4.369,4.999,0.04493765128617751
2022-08-07 00:00:00,2022-08-13 00:00:00,GOIAS,GOIANIA,ETANOL HIDRATADO,56,R$/l,3.82,0.08928849346324008,3.68,3.99,0.023385976492874265
2022-08-07 00:00:00,2022-08-13 00:00:00,MARANHAO,SAO LUIS,ETANOL HIDRATADO,33,R$/l,4.86,0.1628167076900596,4.5,5.19,0.03352228196763143
2022-08-07 00:00:00,2022-08-13 00:00:00,MINAS GERAIS,BELO HORIZONTE,ETANOL HIDRATADO,27,R$/l,3.96,0.12323743095125107,3.67,4.29,0.031161365758417103
2022-08-07 00:00:00,2022-08-13 00:00:00,MATO GROSSO DO SUL,CAMPO GRANDE,ETANOL HIDRATADO,42,R$/l,4.05,0.12012309791513617,3.89,4.39,0.029640856074471058
2022-08-07 00:00:00,2022-08-13 00:00:00,MATO GROSSO,CUIABA,ETANOL HIDRATADO,73,R$/l,3.57,0.12907822130247948,3.47,4.49,0.0361300236007707
2022-08-07 00:00:00,2022-08-13 00:00:00,PARA,BELEM,ETANOL HIDRATADO,17,R$/l,5.23,0.38213987275988515,4.65,5.99,0.07305868012728349
2022-08-07 00:00:00,2022-08-13 00:00:00,PARAIBA,JOAO PESSOA,ETANOL HIDRATADO,22,R$/l,4.92,0.13852969425533362,4.77,5.49,0.028156441921815777
2022-08-07 00:00:00,2022-08-13 00:00:00,PERNAMBUCO,RECIFE,ETANOL HIDRATADO,30,R$/l,5.02,0.16663677892936493,4.68,5.49,0.033216633673627566
2022-08-07 00:00:00,2022-08-13 00:00:00,PIAUI,TERESINA,ETANOL HIDRATADO,35,R$/l,4.69,0.20682148353210364,4.55,5.69,0.044127968322504436
2022-08-07 00:00:00,2022-08-13 00:00:00,PARANA,CURITIBA,ETANOL HIDRATADO,54,R$/l,4.64,0.0689726953540496,4.45,4.79,0.01486836546554363
