DATA INICIAL,DATA FINAL,REGIAO,ESTADOS,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,COEF DE VARIAÇÃO REVENDA
2022-08-07 00:00:00,2022-08-13 00:00:00,NORTE,ACRE,ETANOL HIDRATADO,20,R$/l,5.04,0.37321363996058815,4.94,5.94,0.07410063836479501
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,ALAGOAS,ETANOL HIDRATADO,58,R$/l,4.89,0.46135639994227357,4.39,6.44,0.0943230185876147
2022-08-07 00:00:00,2022-08-13 00:00:00,NORTE,AMAZONAS,ETANOL HIDRATADO,45,R$/l,4.77,0.19837165405196672,4.59,5.49,0.041620664380877304
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,BAHIA,ETANOL HIDRATADO,320,R$/l,4.88,0.23859564960941587,4.29,5.99,0.04894204270701379
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,CEARA,ETANOL HIDRATADO,195,R$/l,5.15,0.3893900827343362,4.67,6.5,0.075612860276604
2022-08-07 00:00:00,2022-08-13 00:00:00,CENTRO OESTE,DISTRITO FEDERAL,ETANOL HIDRATADO,47,R$/l,4.72,0.18477052798295734,4.48,5.39,0.03913747719680468
2022-08-07 00:00:00,2022-08-13 00:00:00,SUDESTE,ESPIRITO SANTO,ETANOL HIDRATADO,79,R$/l,4.77,0.3303072365186569,4.16,5.99,0.06919963674976454
2022-08-07 00:00:00,2022-08-13 00:00:00,CENTRO OESTE,GOIAS,ETANOL HIDRATADO,231,R$/l,3.91,0.2634129754460705,3.5,4.99,0.06733954945162067
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,MARANHAO,ETANOL HIDRATADO,68,R$/l,4.97,0.3687397265722668,4.5,5.99,0.0742076628708232
2022-08-07 00:00:00,2022-08-13 00:00:00,CENTRO OESTE,MATO GROSSO,ETANOL HIDRATADO,157,R$/l,3.68,0.23176338339508515,3.43,4.49,0.06294379170573278
2022-08-07 00:00:00,2022-08-13 00:00:00,CENTRO OESTE,MATO GROSSO DO SUL,ETANOL HIDRATADO,84,R$/l,4.24,0.34778544948790174,3.89,5.07,0.08207085354184947
2022-08-07 00:00:00,2022-08-13 00:00:00,SUDESTE,MINAS GERAIS,ETANOL HIDRATADO,547,R$/l,4.02,0.25923742685150647,3.59,4.89,0.06449944859982797
2022-08-07 00:00:00,2022-08-13 00:00:00,SUL,PARANA,ETANOL HIDRATADO,349,R$/l,4.38,0.2845745097202457,3.79,4.99,0.0650017418737253
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,PARAIBA,ETANOL HIDRATADO,60,R$/l,4.94,0.29913358881075575,4.59,5.97,0.06061392609538052
2022-08-07 00:00:00,2022-08-13 00:00:00,NORTE,PARA,ETANOL HIDRATADO,43,R$/l,5.25,0.40562340082903336,4.65,6.59,0.07726853668682794
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,PERNAMBUCO,ETANOL HIDRATADO,169,R$/l,5.09,0.28361618934246824,4.68,6.24,0.05572497154883293
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,PIAUI,ETANOL HIDRATADO,50,R$/l,4.73,0.28209854986641586,4.55,5.7,0.05968284567091849
2022-08-07 00:00:00,2022-08-13 00:00:00,SUDESTE,RIO DE JANEIRO,ETANOL HIDRATADO,362,R$/l,4.71,0.3092677755494611,4.22,5.89,0.06572405633641484
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,RIO GRANDE DO NORTE,ETANOL HIDRATADO,57,R$/l,5.25,0.3258751471481404,4.89,5.99,0.062042434644044755
2022-08-07 00:00:00,2022-08-13 00:00:00,SUL,RIO GRANDE DO SUL,ETANOL HIDRATADO,114,R$/l,5.37,0.5737252160950213,4.499,6.99,0.10681249547866022
2022-08-07 00:00:00,2022-08-13 00:00:00,NORTE,RONDONIA,ETANOL HIDRATADO,34,R$/l,5.26,0.38256114583557793,4.95,6.78,0.0727263123665961
2022-08-07 00:00:00,2022-08-13 00:00:00,NORTE,RORAIMA,ETANOL HIDRATADO,1,R$/l,5.49,-,5.49,5.49,-
2022-08-07 00:00:00,2022-08-13 00:00:00,SUL,SANTA CATARINA,ETANOL HIDRATADO,124,R$/l,5.08,0.41931582842218285,3.699,6.549,0.08256486238657501
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,SERGIPE,ETANOL HIDRATADO,36,R$/l,4.9,0.20393976701817773,4.52,5.38,0.041618882311164264
2022-08-07 00:00:00,2022-08-13 00:00:00,SUDESTE,SAO PAULO,ETANOL HIDRATADO,1553,R$/l,3.83,0.23149555202093908,3.39,6.37,0.06040373058561679
2022-08-07 00:00:00,2022-08-13 00:00:00,NORTE,TOCANTINS,ETANOL HIDRATADO,32,R$/l,4.93,0.3757968683881261,4.33,6.35,0.07627223564354459
2022-08-07 00:00:00,2022-08-13 00:00:00,NORTE,ACRE,GASOLINA COMUM,39,R$/l,5.96,0.40842956534946384,5.67,6.74,0.06850069010159647
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,ALAGOAS,GASOLINA COMUM,59,R$/l,5.53,0.3480555488828238,5.27,6.54,0.06299959488243204
2022-08-07 00:00:00,2022-08-13 00:00:00,NORTE,AMAPA,GASOLINA COMUM,27,R$/l,5.02,0.11813725177271692,4.93,5.29,0.023551579787110352
2022-08-07 00:00:00,2022-08-13 00:00:00,NORTE,AMAZONAS,GASOLINA COMUM,74,R$/l,5.64,0.4857187014918173,5.39,7,0.08612198890023627
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,BAHIA,GASOLINA COMUM,314,R$/l,5.77,0.1793954181743344,5.09,6.28,0.031078891147934357
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,CEARA,GASOLINA COMUM,209,R$/l,5.64,0.28242818389421476,5.27,6.49,0.050124555959086485
2022-08-07 00:00:00,2022-08-13 00:00:00,CENTRO OESTE,DISTRITO FEDERAL,GASOLINA COMUM,47,R$/l,5.42,0.15252757898057726,5.19,5.99,0.02816815800427165
2022-08-07 00:00:00,2022-08-13 00:00:00,SUDESTE,ESPIRITO SANTO,GASOLINA COMUM,98,R$/l,5.62,0.18747629403405172,5.199,6.49,0.03333443296849168
2022-08-07 00:00:00,2022-08-13 00:00:00,CENTRO OESTE,GOIAS,GASOLINA COMUM,228,R$/l,5.27,0.26901683871090404,4.74,5.99,0.05104269669513245
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,MARANHAO,GASOLINA COMUM,115,R$/l,5.43,0.397946809074761,5.05,6.93,0.0732608535340751
2022-08-07 00:00:00,2022-08-13 00:00:00,CENTRO OESTE,MATO GROSSO,GASOLINA COMUM,158,R$/l,5.55,0.2846001451204763,4.99,6.75,0.051309854094367
2022-08-07 00:00:00,2022-08-13 00:00:00,CENTRO OESTE,MATO GROSSO DO SUL,GASOLINA COMUM,87,R$/l,5.26,0.3458171793279083,5.05,6.1,0.06575392734881218
2022-08-07 00:00:00,2022-08-13 00:00:00,SUDESTE,MINAS GERAIS,GASOLINA COMUM,545,R$/l,5.4,0.22892021116568173,4.97,6.39,0.04236591481308506
2022-08-07 00:00:00,2022-08-13 00:00:00,SUL,PARANA,GASOLINA COMUM,348,R$/l,5.52,0.191660413927305,4.79,5.89,0.03470240564381626
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,PARAIBA,GASOLINA COMUM,63,R$/l,5.57,0.09028117879292243,5.45,5.99,0.016209875714680227
2022-08-07 00:00:00,2022-08-13 00:00:00,NORTE,PARA,GASOLINA COMUM,125,R$/l,5.62,0.44398810678636635,5.12,7.69,0.07905423850994142
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,PERNAMBUCO,GASOLINA COMUM,185,R$/l,5.6,0.22728921615220427,5.31,6.48,0.04057510877140654
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,PIAUI,GASOLINA COMUM,67,R$/l,5.68,0.14069061424676674,5.55,5.99,0.024791964850757114
2022-08-07 00:00:00,2022-08-13 00:00:00,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,366,R$/l,5.63,0.2626291162429545,4.99,6.49,0.04666427854539102
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,RIO GRANDE DO NORTE,GASOLINA COMUM,57,R$/l,5.68,0.2572345457531357,5.45,6.49,0.04532589113946977
2022-08-07 00:00:00,2022-08-13 00:00:00,SUL,RIO GRANDE DO SUL,GASOLINA COMUM,348,R$/l,5.37,0.31543684648548315,4.89,6.69,0.058691800192089784
2022-08-07 00:00:00,2022-08-13 00:00:00,NORTE,RONDONIA,GASOLINA COMUM,73,R$/l,5.57,0.3393249885715786,5.19,6.79,0.06093422512774903
2022-08-07 00:00:00,2022-08-13 00:00:00,NORTE,RORAIMA,GASOLINA COMUM,13,R$/l,5.84,1.8488908177493114e-15,5.84,5.84,3.165908934502244e-16
2022-08-07 00:00:00,2022-08-13 00:00:00,SUL,SANTA CATARINA,GASOLINA COMUM,235,R$/l,5.6,0.3512286279357812,4.96,7.46,0.06271800517415277
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,SERGIPE,GASOLINA COMUM,44,R$/l,5.32,0.05771915675997391,5.23,5.58,0.010842471287009131
2022-08-07 00:00:00,2022-08-13 00:00:00,SUDESTE,SAO PAULO,GASOLINA COMUM,1532,R$/l,5.4,0.2727584330110454,4.74,6.99,0.05054742968974884
2022-08-07 00:00:00,2022-08-13 00:00:00,NORTE,TOCANTINS,GASOLINA COMUM,37,R$/l,5.8,0.21749322587911404,5.58,6.79,0.03748145499797474
2022-08-07 00:00:00,2022-08-13 00:00:00,NORTE,ACRE,GASOLINA ADITIVADA,29,R$/l,5.97,0.292395827940558,5.73,6.74,0.04894756491030386
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,ALAGOAS,GASOLINA ADITIVADA,42,R$/l,5.74,0.336683627865892,5.39,6.94,0.058647628386950194
2022-08-07 00:00:00,2022-08-13 00:00:00,NORTE,AMAPA,GASOLINA ADITIVADA,3,R$/l,5.42,0.18330302779823376,5.25,5.61,0.033802284391501396
2022-08-07 00:00:00,2022-08-13 00:00:00,NORTE,AMAZONAS,GASOLINA ADITIVADA,49,R$/l,5.65,0.38587011843276964,5.39,6.64,0.06825539698469182
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,BAHIA,GASOLINA ADITIVADA,266,R$/l,5.87,0.2455384181101853,5.09,6.99,0.04185056910008491
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,CEARA,GASOLINA ADITIVADA,178,R$/l,5.91,0.40085538657299097,5.29,7.79,0.06786940493443072
2022-08-07 00:00:00,2022-08-13 00:00:00,CENTRO OESTE,DISTRITO FEDERAL,GASOLINA ADITIVADA,43,R$/l,5.52,0.29717738214113293,5.34,6.89,0.05387279693114975
