DATA INICIAL,DATA FINAL,ESTADO,MUNICÍPIO,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,COEF DE VARIAÇÃO REVENDA
2022-08-07 00:00:00,2022-08-13 00:00:00,ACRE,CRUZEIRO DO SUL,ETANOL HIDRATADO,4,R$/l,5.9,0.08500000000000041,5.77,5.94,0.014412886816447715
2022-08-07 00:00:00,2022-08-13 00:00:00,ACRE,RIO BRANCO,ETANOL HIDRATADO,16,R$/l,5.01,0.07901212987046148,4.94,5.19,0.015776788692467035
2022-08-07 00:00:00,2022-08-13 00:00:00,ALAGOAS,ARAPIRACA,ETANOL HIDRATADO,12,R$/l,4.86,0.14145081595145823,4.69,4.99,0.02908017460026553
2022-08-07 00:00:00,2022-08-13 00:00:00,ALAGOAS,DELMIRO GOUVEIA,ETANOL HIDRATADO,7,R$/l,6.04,0.17663521732655701,5.96,6.44,0.029244241279231295
2022-08-07 00:00:00,2022-08-13 00:00:00,ALAGOAS,MACEIO,ETANOL HIDRATADO,24,R$/l,4.87,0.3497802104924948,4.39,6.19,0.07176818886740083
2022-08-07 00:00:00,2022-08-13 00:00:00,ALAGOAS,PALMEIRA DOS INDIOS,ETANOL HIDRATADO,7,R$/l,5.16,0.19508240017270334,4.9,5.38,0.03782761222185383
2022-08-07 00:00:00,2022-08-13 00:00:00,ALAGOAS,RIO LARGO,ETANOL HIDRATADO,8,R$/l,4.86,0.20253747448664552,4.59,5.23,0.041695825936519916
2022-08-07 00:00:00,2022-08-13 00:00:00,AMAZONAS,ITACOATIARA,ETANOL HIDRATADO,2,R$/l,5.34,0.21213203435596412,5.19,5.49,0.03972510006665995
2022-08-07 00:00:00,2022-08-13 00:00:00,AMAZONAS,MANACAPURU,ETANOL HIDRATADO,7,R$/l,5.02,0.17309507434327748,4.79,5.37,0.03451055313024615
2022-08-07 00:00:00,2022-08-13 00:00:00,AMAZONAS,MANAUS,ETANOL HIDRATADO,36,R$/l,4.76,0.12930583900195702,4.59,4.99,0.027146082365701263
2022-08-07 00:00:00,2022-08-13 00:00:00,BAHIA,ALAGOINHAS,ETANOL HIDRATADO,9,R$/l,4.69,0.1418626095911111,4.49,4.98,0.030247891170812596
2022-08-07 00:00:00,2022-08-13 00:00:00,BAHIA,BARREIRAS,ETANOL HIDRATADO,10,R$/l,4.57,0.3229052148507017,4.29,5.4,0.07061124313376377
2022-08-07 00:00:00,2022-08-13 00:00:00,BAHIA,BRUMADO,ETANOL HIDRATADO,7,R$/l,4.88,0.2454539041197328,4.65,5.39,0.050283211262456246
2022-08-07 00:00:00,2022-08-13 00:00:00,BAHIA,CAETITE,ETANOL HIDRATADO,7,R$/l,4.98,0.015118578920369101,4.95,4.99,0.0030332488518940576
2022-08-07 00:00:00,2022-08-13 00:00:00,BAHIA,CAMACARI,ETANOL HIDRATADO,12,R$/l,4.88,0.050893531171962506,4.84,4.99,0.010420105341469888
2022-08-07 00:00:00,2022-08-13 00:00:00,BAHIA,EUNAPOLIS,ETANOL HIDRATADO,8,R$/l,5.15,0.3569488758912122,4.89,5.99,0.06932728834983486
2022-08-07 00:00:00,2022-08-13 00:00:00,BAHIA,FEIRA DE SANTANA,ETANOL HIDRATADO,23,R$/l,4.73,0.12772407265342686,4.49,4.94,0.027000493299897232
2022-08-07 00:00:00,2022-08-13 00:00:00,BAHIA,GUANAMBI,ETANOL HIDRATADO,10,R$/l,4.81,0.10424863441684881,4.69,4.98,0.0216868388635009
2022-08-07 00:00:00,2022-08-13 00:00:00,BAHIA,ILHEUS,ETANOL HIDRATADO,8,R$/l,5.17,0.1338909470960817,5.1,5.49,0.02590393172354664
2022-08-07 00:00:00,2022-08-13 00:00:00,BAHIA,IPIRA,ETANOL HIDRATADO,6,R$/l,4.65,0.16999019579571822,4.49,4.97,0.036570138930595526
2022-08-07 00:00:00,2022-08-13 00:00:00,BAHIA,IRECE,ETANOL HIDRATADO,7,R$/l,4.77,0.014638501094228134,4.75,4.79,0.003069787527249758
2022-08-07 00:00:00,2022-08-13 00:00:00,BAHIA,ITABUNA,ETANOL HIDRATADO,14,R$/l,5.09,0.07136040703574834,4.95,5.25,0.014019726333152913
2022-08-07 00:00:00,2022-08-13 00:00:00,BAHIA,ITAMARAJU,ETANOL HIDRATADO,5,R$/l,4.95,0.20012496096189508,4.74,5.19,0.04042928504280709
2022-08-07 00:00:00,2022-08-13 00:00:00,BAHIA,JACOBINA,ETANOL HIDRATADO,4,R$/l,4.89,0,4.89,4.89,0
2022-08-07 00:00:00,2022-08-13 00:00:00,BAHIA,JAGUAQUARA,ETANOL HIDRATADO,7,R$/l,5.03,0.1353654665112544,4.85,5.29,0.02692691860127254
2022-08-07 00:00:00,2022-08-13 00:00:00,BAHIA,JEQUIE,ETANOL HIDRATADO,9,R$/l,4.93,0.21260291625469319,4.81,5.49,0.04315350126955883
2022-08-07 00:00:00,2022-08-13 00:00:00,BAHIA,JUAZEIRO,ETANOL HIDRATADO,10,R$/l,5.63,0.12616127245183692,5.49,5.85,0.022428670658104336
2022-08-07 00:00:00,2022-08-13 00:00:00,BAHIA,LAURO DE FREITAS,ETANOL HIDRATADO,11,R$/l,4.87,0.026111648393354583,4.84,4.89,0.00536473911705081
2022-08-07 00:00:00,2022-08-13 00:00:00,BAHIA,LIVRAMENTO DE NOSSA SENHORA,ETANOL HIDRATADO,6,R$/l,4.86,0.10327955589886455,4.79,4.99,0.021265522834357835
2022-08-07 00:00:00,2022-08-13 00:00:00,BAHIA,PAULO AFONSO,ETANOL HIDRATADO,1,R$/l,5.18,-,5.18,5.18,-
2022-08-07 00:00:00,2022-08-13 00:00:00,BAHIA,POCOES,ETANOL HIDRATADO,4,R$/l,4.8,0.009999999999999787,4.78,4.8,0.002085505735140727
2022-08-07 00:00:00,2022-08-13 00:00:00,BAHIA,PORTO SEGURO,ETANOL HIDRATADO,7,R$/l,5.14,0.21494185260204668,4.96,5.5,0.04181748105098184
2022-08-07 00:00:00,2022-08-13 00:00:00,BAHIA,SALVADOR,ETANOL HIDRATADO,87,R$/l,4.85,0.0950972714917472,4.74,4.99,0.01961698309373326
2022-08-07 00:00:00,2022-08-13 00:00:00,BAHIA,SANTO ANTONIO DE JESUS,ETANOL HIDRATADO,7,R$/l,4.59,9.593423386663633e-16,4.59,4.59,2.0900704546108137e-16
2022-08-07 00:00:00,2022-08-13 00:00:00,BAHIA,SENHOR DO BONFIM,ETANOL HIDRATADO,7,R$/l,5.12,0.262769136406122,4.79,5.49,0.05133642073242685
2022-08-07 00:00:00,2022-08-13 00:00:00,BAHIA,SERRINHA,ETANOL HIDRATADO,6,R$/l,5.1,0.3479319856906903,4.78,5.61,0.06819967050454563
